ID,Project_Code,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Vendor,Brand,Dosage,Dosage_Form,Unit_of_Measure_Per_Pack,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,Weight_Kilograms,Freight_Cost_USD,Line_Item_Insurance_USD
1037,123-NG-T01,Nigeria,PMO - US,Direct Drop,CIP,Air,2009-09-30 00:00:00,2009-09-30 00:00:00,2009-09-30 00:00:00,BRISTOL-MYERS SQUIBB,Videx EC,400mg,Delayed-release capsules - blister,30,200,4734.0,23.67,0.79,"BMS Meymac, France",11,463,9.28
1046,106-HT-T01,Haiti,PMO - US,Direct Drop,CIP,Air,2009-03-31 00:00:00,2009-03-31 00:00:00,2009-03-31 00:00:00,BRISTOL-MYERS SQUIBB,Videx,50mg,Chewable/dispersible tablet,60,80,760.0,9.5,0.16,"BMS Meymac, France",43,260,1.49
1047,106-HT-T01,Haiti,PMO - US,Direct Drop,CIP,Air,2009-03-31 00:00:00,2009-03-31 00:00:00,2009-03-31 00:00:00,BRISTOL-MYERS SQUIBB,Videx,2g,Powder for oral solution,200,32,402.88,12.59,0.06,"BMS Meymac, France",See ASN-3675 (ID#:1046),See ASN-3675 (ID#:1046),0.79
1048,106-HT-T01,Haiti,PMO - US,Direct Drop,FCA,Air,2009-04-15 00:00:00,2009-04-15 00:00:00,2009-04-15 00:00:00,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Generic,100/25mg,Tablet,60,46,472.88,10.28,0.17,ABBVIE Ludwigshafen Germany,10,893.22,0.93
1063,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-03-31 00:00:00,2008-12-02 00:00:00,2008-12-02 00:00:00,S. BUYS WHOLESALER,Generic,600mg,Tablet,30,3025,47522.75,15.71,0.52,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,93.14
1065,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-04-07 00:00:00,2008-12-03 00:00:00,2008-12-03 00:00:00,S. BUYS WHOLESALER,Generic,600mg,Tablet,30,3500,49840.0,14.24,0.47,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,97.69
1066,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-04-07 00:00:00,2008-12-03 00:00:00,2008-12-03 00:00:00,S. BUYS WHOLESALER,Generic,10mg/ml,Oral solution,240,1008,3588.48,3.56,0.01,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,7.03
1067,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-05-05 00:00:00,2008-12-23 00:00:00,2008-12-23 00:00:00,S. BUYS WHOLESALER,Zerit,1mg/ml,Powder for oral solution,200,960,1152.0,1.2,0.01,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,2.26
1068,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-05-12 00:00:00,2008-12-30 00:00:00,2008-12-30 00:00:00,S. BUYS WHOLESALER,Epivir,10mg/ml,Oral solution,240,1800,10512.0,5.84,0.02,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,20.6
1070,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-03-31 00:00:00,2008-11-21 00:00:00,2008-11-21 00:00:00,S. BUYS WHOLESALER,Generic,30mg,Capsule,60,1200,3384.0,2.82,0.05,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,6.63
1077,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-06-25 00:00:00,2009-04-21 00:00:00,2009-04-21 00:00:00,S. BUYS WHOLESALER,Generic,10mg/ml,Oral solution,240,346,1954.9,5.65,0.02,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,3.83
1078,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-06-25 00:00:00,2009-06-05 00:00:00,2009-06-05 00:00:00,S. BUYS WHOLESALER,Generic,50mg,Capsule,30,5300,16642.0,3.14,0.1,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,32.62
1079,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-06-25 00:00:00,2009-06-17 00:00:00,2009-06-17 00:00:00,S. BUYS WHOLESALER,Generic,10mg/ml,Oral solution,240,342,1932.3,5.65,0.02,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,3.79
1080,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-08-19 00:00:00,2009-08-19 00:00:00,2009-08-19 00:00:00,S. BUYS WHOLESALER,Zerit,15mg,Capsule,60,2700,10665.0,3.95,0.07,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,20.9
1084,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-06-25 00:00:00,2009-04-14 00:00:00,2009-04-14 00:00:00,S. BUYS WHOLESALER,Aluvia,200/50mg,Tablet,120,3735,134385.3,35.98,0.3,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Freight Included in Commodity Cost,263.4
1085,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-06-25 00:00:00,2009-04-29 00:00:00,2009-04-29 00:00:00,S. BUYS WHOLESALER,Retrovir,300mg,Tablet,60,6000,80640.0,13.44,0.22,GSK Aranda,Weight Captured Separately,Freight Included in Commodity Cost,158.05
1086,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Air,2009-06-25 00:00:00,2009-04-20 00:00:00,2009-04-20 00:00:00,S. BUYS WHOLESALER,Generic,30mg,Capsule,60,11672,35016.0,3.0,0.05,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,68.63
1109,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,2009-06-30 00:00:00,2009-06-30 00:00:00,2009-06-30 00:00:00,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,200/50mg,Tablet,120,10240,420864.0,41.1,0.34,ABBVIE Ludwigshafen Germany,2523,14806.48,824.89
1110,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,2009-07-22 00:00:00,2009-07-22 00:00:00,2009-07-22 00:00:00,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Norvir,100mg,Capsule,336,400,15344.0,38.36,0.11,ABBVIE (Abbott) Logis. UK,175,7642.97,30.07
1111,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-07-31 00:00:00,2009-04-21 00:00:00,2009-04-21 00:00:00,S. BUYS WHOLESALER,Kaletra,80/20mg/ml,Oral solution,300,30,1080.0,36.0,0.12,ABBVIE (Abbott) Logis. UK,Weight Captured Separately,Freight Included in Commodity Cost,2.12
1114,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-15 00:00:00,2009-04-17 00:00:00,2009-04-17 00:00:00,S. BUYS WHOLESALER,Truvada,300/200mg,Tablet - FDC,30,80,2816.0,35.2,1.17,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost,5.52
1115,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-15 00:00:00,2009-04-23 00:00:00,2009-04-23 00:00:00,S. BUYS WHOLESALER,Generic,300mg,Tablet,60,1000,19770.0,19.77,0.33,"Aurobindo Unit III, India",Weight Captured Separately,3134.85,38.75
1156,107-RW-T01,Rwanda,PMO - US,Direct Drop,CIP,Air,2009-07-25 00:00:00,2009-07-25 00:00:00,2009-07-25 00:00:00,HETERO LABS LIMITED,Generic,600mg,Tablet,30,55356,386384.88,6.98,0.23,Hetero Unit III Hyderabad IN,4482,37404.74,757.31
1179,108-VN-T01,Vietnam,PMO - US,Direct Drop,FCA,Air,2009-07-17 00:00:00,2009-07-17 00:00:00,2009-07-17 00:00:00,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Norvir,100mg,Capsule,336,8,613.76,76.72,0.23,ABBVIE (Abbott) France,48,3366.04,1.2
1183,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-07-10 00:00:00,2009-07-10 00:00:00,2009-07-10 00:00:00,Aurobindo Pharma Limited,Generic,150/300/200mg,Tablet - FDC,60,3500,39025.0,11.15,0.19,"Aurobindo Unit III, India",1804,6341.88,76.49
1213,108-VN-T01,Vietnam,PMO - US,Direct Drop,CIP,Air,2009-07-28 00:00:00,2009-07-28 00:00:00,2009-07-28 00:00:00,BRISTOL-MYERS SQUIBB,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",148,14.36,5.49
1221,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-07-28 00:00:00,2009-07-28 00:00:00,2009-07-28 00:00:00,S. BUYS WHOLESALER,Norvir,100mg,Capsule,84,50,490.0,9.8,0.12,ABBVIE (Abbott) Logis. UK,Weight Captured Separately,Freight Included in Commodity Cost,0.96
1222,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-10-12 00:00:00,2009-08-05 00:00:00,2009-08-05 00:00:00,S. BUYS WHOLESALER,Generic,150mg,Tablet,60,5000,41300.0,8.26,0.14,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,80.95
1223,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-10-12 00:00:00,2009-07-28 00:00:00,2009-07-28 00:00:00,S. BUYS WHOLESALER,Epivir,10mg/ml,Oral solution,240,460,2838.2,6.17,0.03,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,5.56
1306,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-08-24 00:00:00,2007-08-24 00:00:00,2007-08-24 00:00:00,CIPLA LIMITED,Generic,150/200/30mg,Tablet - FDC,60,25000,187500.0,7.5,0.12,"Cipla, Goa, India",2348,21439.59,300.0
1337,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,2007-10-23 00:00:00,2007-10-23 00:00:00,2007-10-23 00:00:00,BRISTOL-MYERS SQUIBB,Videx,50mg,Chewable/dispersible tablet,60,1577,14981.5,9.5,0.16,"BMS Meymac, France",306,Freight Included in Commodity Cost,23.97
1350,104-CI-T01,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,2007-10-02 00:00:00,2007-10-02 00:00:00,2007-10-02 00:00:00,BRISTOL-MYERS SQUIBB,Videx,50mg,Chewable/dispersible tablet,60,4270,40565.0,9.5,0.16,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,64.9
1356,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-10-02 00:00:00,2007-10-02 00:00:00,2007-10-02 00:00:00,Aurobindo Pharma Limited,Generic,10mg/ml,Oral suspension,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",960,13762.41,3.07
1357,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-10-02 00:00:00,2007-10-02 00:00:00,2007-10-02 00:00:00,Aurobindo Pharma Limited,Generic,10mg/ml,Oral solution,240,1000,2100.0,2.1,0.01,"Aurobindo Unit III, India",See ASN-744 (ID#:1356),See ASN-744 (ID#:1356),3.36
1358,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-10-15 00:00:00,2007-10-15 00:00:00,2007-10-15 00:00:00,Aurobindo Pharma Limited,Generic,10mg/ml,Oral solution,240,1000,2100.0,2.1,0.01,"Aurobindo Unit III, India",See ASN-781 (ID#:115),See ASN-781 (ID#:115),3.36
1359,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-10-15 00:00:00,2007-10-15 00:00:00,2007-10-15 00:00:00,Aurobindo Pharma Limited,Generic,150/300/200mg,Tablet - FDC,60,3000,40500.0,13.5,0.22,"Aurobindo Unit III, India",332,4454.62,64.8
1360,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-11-23 00:00:00,2007-11-23 00:00:00,2007-11-23 00:00:00,Aurobindo Pharma Limited,Generic,600mg,Tablet,30,22500,277425.0,12.33,0.41,"Aurobindo Unit III, India",1955,16095.39,443.88
1361,108-VN-T01,Vietnam,PMO - US,Direct Drop,FCA,Air,2007-08-27 00:00:00,2007-08-27 00:00:00,2007-08-27 00:00:00,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,200/50mg,Tablet,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,117,1767.38,65.75
1502,107-RW-T01,Rwanda,PMO - US,Direct Drop,EXW,Air,2008-01-28 00:00:00,2008-01-28 00:00:00,2008-01-28 00:00:00,ASPEN PHARMACARE,Viread,300mg,Tablet,30,1609,27353.0,17.0,0.57,"Aspen-OSD, Port Elizabeth, SA",157,7922.24,43.76
1519,108-VN-T01,Vietnam,PMO - US,Direct Drop,FCA,Air,2008-03-28 00:00:00,2008-03-28 00:00:00,2008-03-28 00:00:00,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Norvir,100mg,Capsule,336,100,18333.0,183.33,0.55,ABBVIE (Abbott) Logis. UK,337,2535.4,29.33
1529,107-RW-T01,Rwanda,PMO - US,Direct Drop,CIP,Air,2008-01-28 00:00:00,2008-01-28 00:00:00,2008-01-28 00:00:00,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,300mg,Tablet,60,1099,30222.5,27.5,0.46,Mylan (formerly Matrix) Nashik,113,1511.25,48.36
1530,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-02-01 00:00:00,2008-02-01 00:00:00,2008-02-01 00:00:00,Aurobindo Pharma Limited,Generic,20mg,Capsule,60,1200,2100.0,1.75,0.03,"Aurobindo Unit III, India",125,2429.85,3.36
1673,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-04-24 00:00:00,2008-04-24 00:00:00,2008-04-24 00:00:00,S. BUYS WHOLESALER,Kaletra,133.3/33.3mg,Capsule,180,400,15760.0,39.4,0.22,ABBVIE (Abbott) Logis. UK,Weight Captured Separately,Freight Included in Commodity Cost,25.22
1674,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-04-24 00:00:00,2008-04-24 00:00:00,2008-04-24 00:00:00,S. BUYS WHOLESALER,Norvir,80mg/ml,Oral solution,90,6,47.28,7.88,0.09,ABBVIE (Abbott) France,Weight Captured Separately,Freight Included in Commodity Cost,0.08
1675,116-ZA-T01,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-04-24 00:00:00,2008-04-24 00:00:00,2008-04-24 00:00:00,S. BUYS WHOLESALER,Viread,300mg,Tablet,30,500,10925.0,21.85,0.73,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost,17.48
1691,108-VN-T01,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-07-07 00:00:00,2008-06-20 00:00:00,2008-06-20 00:00:00,Aurobindo Pharma Limited,Generic,150mg,Tablet,60,10080,29232.0,2.9,0.05,"Aurobindo Unit III, India",507,4159.45,46.77
